Koordinatensystem : Lambert konform konisch
Rechtswert        : 3917500 Meter
Hochwert          : 2353500 Meter
Hoehenlage        : 462 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3917500 2353500  1  1  1  -3.9  959  90  1.6 3  2.9  94    0    0 197 -293  2
3917500 2353500  1  1  2  -5.2  959  89  1.7 2  2.6  94    0    0 195 -294  2
3917500 2353500  1  1  3  -5.9  958  56  1.6 3  2.4  94    0    0 204 -294  2
3917500 2353500  1  1  4  -5.7  958  56  1.4 4  2.4  94    0    0 223 -295  2
3917500 2353500  1  1  5  -5.2  957  55  1.2 6  2.5  93    0    0 250 -295  2
3917500 2353500  1  1  6  -5.7  956  47  0.8 6  2.6  93    0    0 261 -296  2
3917500 2353500  1  1  7  -4.3  956  53  1.1 7  2.6  92    0    0 263 -298  2
3917500 2353500  1  1  8  -3.6  955   0  0.9 5  2.6  88    0    0 261 -301  2
3917500 2353500  1  1  9  -4.6  955  42  0.9 5  2.6  89    0   12 250 -304  2
3917500 2353500  1  1 10  -3.6  955 159  1.2 6  2.7  90    5   59 257 -308  2
3917500 2353500  1  1 11  -2.3  954 140  1.1 5  2.9  89   34  123 262 -313  2
3917500 2353500  1  1 12  -1.0  954 112  0.7 5  3.0  83   17  142 261 -316  2
3917500 2353500  1  1 13  -0.2  954 162  1.3 6  3.0  78    7  131 269 -318  2
3917500 2353500  1  1 14  -0.8  953 306  1.3 6  3.1  79    1   94 274 -320  2
3917500 2353500  1  1 15   0.2  953 253  2.0 6  3.1  78    3   84 274 -321  2
3917500 2353500  1  1 16  -0.8  953 189  1.2 8  3.2  80    0   24 286 -322  2
3917500 2353500  1  1 17   0.2  952 230  1.4 8  3.2  80    0    8 304 -322  2
3917500 2353500  1  1 18  -0.1  952 271  1.3 7  3.2  79    0    0 294 -322  2
3917500 2353500  1  1 19  -0.6  952 245  1.9 8  3.3  83    0    0 290 -322  2
3917500 2353500  1  1 20  -0.3  952 195  1.5 7  3.3  85    0    0 288 -322  2
3917500 2353500  1  1 21   0.3  951 247  1.6 7  3.4  83    0    0 271 -322  2
3917500 2353500  1  1 22   0.4  951 248  1.3 8  3.4  82    0    0 295 -323  2
3917500 2353500  1  1 23   0.2  951 227  1.5 8  3.5  85    0    0 307 -323  2
3917500 2353500  1  1 24   0.2  951 199  2.8 7  3.7  90    0    0 300 -323  2
3917500 2353500  1  2  1   0.0  951 339  1.6 8  3.8  94    0    0 300 -323  2
3917500 2353500  1  2  2   0.3  951  27  1.8 8  4.0  97    0    0 309 -323  2
3917500 2353500  1  2  3   0.6  951 335  2.4 8  4.1  98    0    0 310 -324  2
3917500 2353500  1  2  4   0.6  951 116  2.3 7  4.2  99    0    0 303 -323  2
3917500 2353500  1  2  5   1.1  950  52  1.8 7  4.2  99    0    0 296 -323  2
3917500 2353500  1  2  6   1.2  949 223  1.2 8  4.3  97    0    0 303 -323  2
3917500 2353500  1  2  7   1.3  948  62  2.3 8  4.3  96    0    0 311 -324  2
3917500 2353500  1  2  8   1.5  948  28  2.8 8  4.3  95    0    0 311 -325  2
3917500 2353500  1  2  9   1.8  949 181  2.3 8  4.3  94    0    0 311 -326  2
3917500 2353500  1  2 10   1.7  950 103  1.5 8  4.4  96    0    9 310 -327  2
3917500 2353500  1  2 11   2.8  950  84  2.0 8  4.6  97    0   19 311 -328  2
3917500 2353500  1  2 12   2.1  950  16  2.0 8  4.7  98    0   31 311 -329  2
3917500 2353500  1  2 13   2.9  950 353  2.3 7  4.8 100    0   44 302 -330  2
3917500 2353500  1  2 14   4.3  951   7  2.1 6  5.2  98    3  107 287 -331  2
3917500 2353500  1  2 15   4.6  950  44  2.3 8  5.4  97    0   40 300 -336  2
3917500 2353500  1  2 16   4.7  951  72  2.4 8  5.5  98    0   35 319 -338  2
3917500 2353500  1  2 17   4.7  951 121  0.7 8  5.5  97    0    5 319 -335  2
3917500 2353500  1  2 18   4.2  950 145  1.3 8  5.4  98    0    0 318 -331  2
3917500 2353500  1  2 19   3.4  950 190  1.2 6  5.2  98    0    0 301 -330  2
3917500 2353500  1  2 20   3.4  950 199  1.2 6  5.0  97    0    0 283 -330  2
3917500 2353500  1  2 21   4.0  951 161  2.4 6  5.0  95    0    0 285 -329  2
3917500 2353500  1  2 22   3.2  951 180  2.0 6  5.0  95    0    0 287 -328  2
3917500 2353500  1  2 23   2.8  951 240  2.4 6  4.9  98    0    0 287 -328  2
3917500 2353500  1  2 24   2.9  951 252  2.9 7  4.8  98    0    0 292 -329  2
3917500 2353500  1  3  1   3.6  952 230  4.4 6  5.0  98    0    0 294 -331  2
3917500 2353500  1  3  2   4.4  952 246  2.9 6  5.1  95    0    0 291 -331  2
3917500 2353500  1  3  3   4.1  952 243  3.6 7  5.2  95    0    0 299 -330  2
3917500 2353500  1  3  4   4.4  952 225  3.5 8  5.3  96    0    0 310 -331  2
3917500 2353500  1  3  5   4.3  953 243  3.0 8  5.2  94    0    0 315 -332  2
3917500 2353500  1  3  6   3.1  953 237  4.3 7  5.0  94    0    0 306 -332  2
3917500 2353500  1  3  7   3.4  953 230  4.5 5  4.8  95    0    0 286 -330  2
3917500 2353500  1  3  8   2.5  953 241  3.9 4  4.7  94    0    0 267 -328  2
3917500 2353500  1  3  9   3.8  954 226  4.4 4  4.6  92    4   13 260 -325  2
3917500 2353500  1  3 10   4.8  956 223  4.6 6  4.7  86    3   50 273 -325  2
3917500 2353500  1  3 11   4.1  956 221  4.5 7  4.9  88   29   91 291 -328  2
3917500 2353500  1  3 12   6.3  957 229  4.7 5  5.0  85  115  103 289 -334  2
3917500 2353500  1  3 13   6.3  957 221  4.2 6  5.0  80   54  129 288 -340  2
3917500 2353500  1  3 14   6.4  957 238  3.5 4  5.1  81   88  106 282 -343  2
3917500 2353500  1  3 15   6.4  958 232  3.3 3  5.1  80  100   70 268 -343  2
3917500 2353500  1  3 16   6.2  958 253  1.4 6  5.1  82   21   48 274 -340  2
3917500 2353500  1  3 17   4.5  958 210  0.6 5  5.1  86    0    3 281 -333  2
3917500 2353500  1  3 18   3.5  958 119  0.1 3  4.8  90    0    0 261 -326  2
3917500 2353500  1  3 19   2.8  958  82  0.9 3  4.7  92    0    0 248 -322  2
3917500 2353500  1  3 20   1.5  959  64  0.8 3  4.4  94    0    0 245 -322  2
3917500 2353500  1  3 21   2.1  959 126  1.8 4  4.2  93    0    0 250 -322  2
3917500 2353500  1  3 22   1.6  958  89  1.7 2  4.2  92    0    0 246 -321  2
3917500 2353500  1  3 23   1.5  958  67  1.8 2  4.2  93    0    0 237 -319  2
3917500 2353500  1  3 24   0.6  957  50  1.4 3  4.1  94    0    0 243 -318  2
3917500 2353500  1  4  1   0.6  957  62  1.3 5  4.0  95    0    0 256 -319  2
3917500 2353500  1  4  2   0.3  956  75  1.8 4  4.0  96    0    0 260 -320  2
3917500 2353500  1  4  3   1.2  955  56  0.7 5  3.9  93    0    0 259 -320  2
