Koordinatensystem : Lambert konform konisch
Rechtswert        : 3965500 Meter
Hochwert          : 2982500 Meter
Hoehenlage        : -1 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3965500 2982500  1  1  1   4.7 1016 220  8.4 7  4.9  93    0    0 303 -319  1
3965500 2982500  1  1  2   3.5 1016 232  8.1 7  4.6  95    0    0 303 -319  1
3965500 2982500  1  1  3   2.7 1014 242  8.2 7  4.4  97    0    0 302 -319  1
3965500 2982500  1  1  4   2.9 1014 247  8.3 7  4.5  97    0    0 301 -319  1
3965500 2982500  1  1  5   3.1 1013 253  8.2 7  4.6  97    0    0 300 -319  1
3965500 2982500  1  1  6   3.2 1012 258  8.1 8  4.7  99    0    0 304 -319  1
3965500 2982500  1  1  7   3.4 1012 269  8.0 5  4.6  95    0    0 297 -319  1
3965500 2982500  1  1  8   3.0 1012 283  7.2 4  4.3  89    0    0 278 -319  1
3965500 2982500  1  1  9   2.8 1012 287  7.0 3  4.1  87    0    0 267 -319  1
3965500 2982500  1  1 10   3.1 1013 295  7.5 3  4.0  86    1   29 261 -318  1
3965500 2982500  1  1 11   3.6 1013 288  8.1 2  4.1  84   42   60 256 -318  1
3965500 2982500  1  1 12   3.6 1013 289  8.2 2  4.0  82   61   80 250 -318  1
3965500 2982500  1  1 13   3.8 1013 293  7.9 4  4.0  81   30   95 259 -316  1
3965500 2982500  1  1 14   3.5 1013 286  8.7 5  4.0  80   25   86 274 -315  1
3965500 2982500  1  1 15   3.2 1013 293  8.7 3  3.9  82   21   61 266 -313  1
3965500 2982500  1  1 16   3.1 1014 291  8.4 6  3.9  82    0   11 271 -312  1
3965500 2982500  1  1 17   2.7 1014 290  7.9 6  3.9  83    0    0 289 -310  1
3965500 2982500  1  1 18   2.2 1014 294  7.3 2  3.8  84    0    0 264 -309  1
3965500 2982500  1  1 19   2.1 1015 292  7.4 3  3.7  83    0    0 245 -309  1
3965500 2982500  1  1 20   1.9 1015 282  7.5 3  3.6  83    0    0 249 -309  1
3965500 2982500  1  1 21   1.8 1015 276  7.1 1  3.6  84    0    0 235 -309  1
3965500 2982500  1  1 22   1.9 1016 279  6.7 4  3.7  85    0    0 241 -309  1
3965500 2982500  1  1 23   2.1 1016 278  6.9 6  3.8  87    0    0 272 -309  1
