Koordinatensystem : Lambert konform konisch
Rechtswert        : 3955500 Meter
Hochwert          : 3011500 Meter
Hoehenlage        : -3 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3955500 3011500  1  1  1   1.2 1022 233  3.1 5  4.0  96    0    0 328 -334  2
3955500 3011500  1  1  2   2.2 1022 204  3.6 7  4.2  95    0    0 329 -335  2
3955500 3011500  1  1  3   3.2 1021 182  3.8 8  4.4  94    0    0 330 -335  2
3955500 3011500  1  1  4   3.3 1021 183  3.8 8  4.5  94    0    0 331 -336  2
3955500 3011500  1  1  5   3.4 1021 186  3.7 8  4.5  94    0    0 331 -336  2
3955500 3011500  1  1  6   3.4 1020 195  3.7 8  4.5  94    0    0 333 -337  2
3955500 3011500  1  1  7   3.7 1020 197  3.8 8  4.6  94    0    0 334 -338  2
3955500 3011500  1  1  8   3.8 1020 199  4.4 8  4.7  94    0    0 335 -340  2
3955500 3011500  1  1  9   3.9 1019 193  4.2 8  4.7  95    0    0 336 -342  2
3955500 3011500  1  1 10   4.0 1019 196  5.0 8  4.8  95    0   21 338 -345  2
3955500 3011500  1  1 11   4.1 1019 203  4.7 6  4.8  95    0   44 327 -347  2
3955500 3011500  1  1 12   4.4 1019 218  5.6 8  4.9  95    0   32 329 -349  2
3955500 3011500  1  1 13   4.9 1018 250  5.8 8  5.0  95    0   25 344 -350  2
3955500 3011500  1  1 14   5.9 1018 301  5.1 6  5.3  95    0   64 335 -349  2
3955500 3011500  1  1 15   6.6 1019 304  5.7 3  5.5  93   40   29 304 -347  2
3955500 3011500  1  1 16   6.0 1019 302  5.4 3  5.4  92    0   12 284 -342  2
3955500 3011500  1  1 17   5.4 1020 303  4.7 5  5.2  92    0    0 295 -337  2
3955500 3011500  1  1 18   5.0 1021 284  4.8 5  5.0  92    0    0 304 -333  2
3955500 3011500  1  1 19   3.5 1021 284  4.0 4  4.8  94    0    0 293 -330  2
3955500 3011500  1  1 20   2.8 1022 275  4.5 2  4.5  96    0    0 267 -329  2
3955500 3011500  1  1 21   3.6 1023 281  4.8 1  4.6  96    0    0 246 -327  2
3955500 3011500  1  1 22   3.2 1023 268  4.3 1  4.6  95    0    0 238 -326  2
3955500 3011500  1  1 23   3.3 1024 257  4.4 0  4.5  96    0    0 227 -325  2
