Koordinatensystem : Lambert konform konisch
Rechtswert        : 3912500 Meter
Hochwert          : 2352500 Meter
Hoehenlage        : 468 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3912500 2352500  1  1  1  -0.7  971 316  1.5 4  3.7  96    0    0 204 -308  2
3912500 2352500  1  1  2  -1.1  971 322  1.5 5  3.6  97    0    0 237 -307  2
3912500 2352500  1  1  3  -1.3  971 328  1.5 5  3.5  98    0    0 272 -305  2
3912500 2352500  1  1  4  -1.3  971 290  1.5 6  3.5  99    0    0 259 -304  2
3912500 2352500  1  1  5  -1.3  970 228  1.4 6  3.5  98    0    0 257 -303  2
3912500 2352500  1  1  6  -1.2  970  24  1.2 6  3.5  98    0    0 265 -302  2
3912500 2352500  1  1  7  -0.8  970  23  0.8 8  3.5  94    0    0 271 -300  2
3912500 2352500  1  1  8  -1.7  969  22  0.5 7  3.4  95    0    0 273 -299  2
3912500 2352500  1  1  9  -1.0  969 347  0.5 6  3.4  96    0    2 261 -298  2
3912500 2352500  1  1 10  -0.7  969  30  1.5 7  3.5  94    0   36 259 -299  2
3912500 2352500  1  1 11  -0.6  969  27  2.0 7  3.4  91    1   75 264 -303  2
3912500 2352500  1  1 12  -0.8  969  79  2.2 6  3.3  89    3  105 258 -308  2
3912500 2352500  1  1 13  -0.5  968  76  1.8 7  3.3  87    0   84 256 -314  2
3912500 2352500  1  1 14   0.0  968  70  1.8 7  3.3  84    0   77 259 -317  2
3912500 2352500  1  1 15  -0.2  967  84  2.7 7  3.3  83    6   84 254 -317  2
3912500 2352500  1  1 16  -0.7  967  94  2.3 7  3.2  84    1   36 249 -315  2
3912500 2352500  1  1 17  -1.3  967  82  2.4 6  3.1  85    0    3 242 -311  2
3912500 2352500  1  1 18  -1.6  967  73  3.3 8  3.0  84    0    0 241 -305  2
3912500 2352500  1  1 19  -2.0  967  60  3.3 8  2.9  84    0    0 246 -302  2
3912500 2352500  1  1 20  -1.9  967  55  3.3 8  2.9  84    0    0 245 -299  2
3912500 2352500  1  1 21  -2.0  967  48  3.3 7  2.8  83    0    0 243 -297  2
3912500 2352500  1  1 22  -1.7  967  49  3.8 7  2.8  80    0    0 242 -295  2
3912500 2352500  1  1 23  -2.2  967  53  3.0 8  2.7  79    0    0 247 -294  2
3912500 2352500  1  1 24  -2.3  967  44  3.5 7  2.7  79    0    0 248 -293  2
3912500 2352500  1  2  1  -2.7  966  44  3.4 5  2.6  79    0    0 237 -292  2
3912500 2352500  1  2  2  -2.4  966  41  3.1 5  2.5  77    0    0 230 -291  2
3912500 2352500  1  2  3  -2.3  966  46  3.1 6  2.5  75    0    0 235 -290  2
3912500 2352500  1  2  4  -2.7  966  45  4.2 5  2.5  75    0    0 235 -289  2
3912500 2352500  1  2  5  -2.9  965  52  3.8 3  2.4  76    0    0 223 -288  2
3912500 2352500  1  2  6  -3.0  965  49  3.4 7  2.4  75    0    0 231 -286  2
3912500 2352500  1  2  7  -3.4  965  49  3.2 7  2.4  75    0    0 247 -285  2
3912500 2352500  1  2  8  -3.7  964  40  2.9 7  2.3  76    0    0 247 -284  2
3912500 2352500  1  2  9  -3.7  964  43  2.7 5  2.3  76    0   11 239 -283  2
3912500 2352500  1  2 10  -3.7  964  48  3.4 3  2.3  76    4   52 221 -283  2
3912500 2352500  1  2 11  -3.0  963  42  2.8 5  2.3  73    2   78 221 -287  2
3912500 2352500  1  2 12  -2.8  963  46  3.3 7  2.3  70    5  103 240 -294  2
3912500 2352500  1  2 13  -3.0  962  52  3.1 6  2.3  70   12  122 244 -301  2
3912500 2352500  1  2 14  -2.6  961  62  2.5 5  2.3  70   72  114 236 -304  2
3912500 2352500  1  2 15  -2.7  960  59  2.2 4  2.3  69  114   68 226 -305  2
3912500 2352500  1  2 16  -2.9  960  46  2.1 3  2.3  70   82   34 216 -302  2
3912500 2352500  1  2 17  -3.7  959  36  2.3 3  2.3  73    3   10 210 -297  2
3912500 2352500  1  2 18  -4.0  959  32  3.0 4  2.3  75    0    0 213 -291  2
3912500 2352500  1  2 19  -4.1  959  37  3.7 6  2.3  76    0    0 225 -289  2
3912500 2352500  1  2 20  -3.9  958  34  3.8 6  2.3  76    0    0 234 -289  2
3912500 2352500  1  2 21  -4.0  958  34  3.6 7  2.3  75    0    0 239 -289  2
3912500 2352500  1  2 22  -3.8  957  48  3.3 7  2.2  75    0    0 245 -289  2
3912500 2352500  1  2 23  -3.8  956  31  2.3 8  2.3  75    0    0 252 -291  2
3912500 2352500  1  2 24  -3.9  956  50  2.3 8  2.3  75    0    0 259 -294  2
3912500 2352500  1  3  1  -3.8  955  41  2.7 8  2.3  76    0    0 261 -296  2
3912500 2352500  1  3  2  -3.8  955  47  2.3 8  2.3  75    0    0 264 -297  2
3912500 2352500  1  3  3  -3.9  955  50  1.9 8  2.3  76    0    0 267 -298  2
3912500 2352500  1  3  4  -3.7  954  59  2.5 8  2.3  75    0    0 269 -299  2
3912500 2352500  1  3  5  -3.8  953  30  1.8 8  2.3  76    0    0 270 -300  2
3912500 2352500  1  3  6  -3.7  953  57  2.2 8  2.4  77    0    0 273 -301  2
3912500 2352500  1  3  7  -3.5  952  52  2.4 8  2.4  78    0    0 273 -302  2
3912500 2352500  1  3  8  -3.3  952  53  2.0 8  2.5  78    0    0 274 -303  2
3912500 2352500  1  3  9  -3.1  952  39  1.7 7  2.5  78    0   13 270 -304  2
3912500 2352500  1  3 10  -2.7  951  37  2.5 7  2.5  76   27   61 267 -306  2
3912500 2352500  1  3 11  -1.7  952  48  2.7 5  2.5  74   75  102 261 -310  2
3912500 2352500  1  3 12  -0.4  951  45  2.9 6  2.6  70   33  130 259 -315  2
3912500 2352500  1  3 13   0.4  951  56  2.9 7  2.6  65   17  131 271 -319  2
3912500 2352500  1  3 14   1.4  950  55  3.2 7  2.7  62   34  124 277 -321  2
3912500 2352500  1  3 15   1.4  949  54  2.6 6  2.8  63   31   92 275 -322  2
3912500 2352500  1  3 16   1.1  949  61  2.6 7  2.9  65   19   49 275 -323  2
3912500 2352500  1  3 17   0.4  949  49  2.7 6  2.9  68    0    8 273 -322  2
3912500 2352500  1  3 18  -0.7  950  49  2.7 6  2.8  71    0    0 265 -321  2
3912500 2352500  1  3 19  -1.4  950  45  2.1 2  2.8  74    0    0 245 -319  2
3912500 2352500  1  3 20  -1.7  950  49  1.4 2  2.7  76    0    0 224 -316  2
3912500 2352500  1  3 21  -1.5  951  48  1.6 5  2.8  77    0    0 235 -313  2
3912500 2352500  1  3 22  -2.9  951  70  2.1 4  2.7  80    0    0 241 -312  2
3912500 2352500  1  3 23  -3.0  951  42  2.0 4  2.7  83    0    0 236 -310  2
3912500 2352500  1  3 24  -3.4  951  47  2.1 0  2.7  84    0    0 218 -308  2
3912500 2352500  1  4  1  -3.5  951  39  1.4 2  2.7  86    0    0 210 -306  2
3912500 2352500  1  4  2  -3.1  952  54  1.3 1  2.7  85    0    0 215 -304  2
3912500 2352500  1  4  3  -3.2  952  30  1.0 3  2.7  84    0    0 224 -303  2
3912500 2352500  1  4  4  -3.2  952  44  2.0 6  2.7  84    0    0 244 -302  2
3912500 2352500  1  4  5  -3.1  953  39  1.5 7  2.6  83    0    0 260 -303  2
3912500 2352500  1  4  6  -3.2  953  33  2.1 8  2.6  82    0    0 268 -303  2
3912500 2352500  1  4  7  -3.3  953  26  2.7 3  2.6  83    0    0 252 -302  2
3912500 2352500  1  4  8  -2.9  954  45  2.5 3  2.7  83    0    0 233 -301  2
3912500 2352500  1  4  9  -2.5  955  48  1.7 6  2.7  82    2   17 245 -301  2
3912500 2352500  1  4 10  -1.5  955  31  1.8 7  2.8  80    3   57 262 -302  2
3912500 2352500  1  4 11  -0.3  957 355  1.1 8  2.9  76    4   94 274 -308  2
3912500 2352500  1  4 12   0.4  957  12  2.1 7  2.9  73   11  137 276 -315  2
3912500 2352500  1  4 13   0.5  957 346  0.4 7  3.0  73    0   93 273 -320  2
3912500 2352500  1  4 14   0.6  957 354  0.8 7  3.1  74    0   50 273 -322  2
3912500 2352500  1  4 15   0.8  957 347  1.6 7  3.1  74    0   35 275 -324  2
3912500 2352500  1  4 16   0.5  957 349  1.3 8  3.1  74    0   24 281 -324  2
3912500 2352500  1  4 17   0.4  958  26  1.1 8  3.1  75    0    1 286 -322  2
3912500 2352500  1  4 18  -0.2  958  17  1.3 8  3.1  78    0    0 286 -319  2
3912500 2352500  1  4 19  -0.3  958   6  1.3 8  3.2  81    0    0 286 -315  2
3912500 2352500  1  4 20  -0.4  958  72  1.6 8  3.2  82    0    0 285 -313  2
3912500 2352500  1  4 21  -0.6  958  63  0.5 7  3.2  83    0    0 279 -310  2
3912500 2352500  1  4 22  -0.8  959 349  0.3 6  3.2  84    0    0 266 -306  2
3912500 2352500  1  4 23  -0.5  959 315  1.6 7  3.2  84    0    0 266 -302  2
3912500 2352500  1  4 24  -0.3  959 297  1.4 7  3.3  84    0    0 272 -303  2
3912500 2352500  1  5  1  -0.2  959 303  1.5 8  3.3  84    0    0 278 -305  2
3912500 2352500  1  5  2  -0.6  960 297  1.2 7  3.3  85    0    0 278 -307  2
3912500 2352500  1  5  3  -0.8  959 290  1.2 8  3.3  86    0    0 277 -307  2
3912500 2352500  1  5  4  -0.3  960 305  1.7 8  3.3  85    0    0 285 -306  2
3912500 2352500  1  5  5  -0.8  959 292  1.5 8  3.3  86    0    0 287 -307  2
3912500 2352500  1  5  6  -0.7  959 294  1.4 8  3.3  88    0    0 289 -308  2
3912500 2352500  1  5  7  -0.6  958 307  1.1 8  3.4  88    0    0 291 -309  2
3912500 2352500  1  5  8  -0.3  958 253  1.2 8  3.4  88    0    0 293 -309  2
3912500 2352500  1  5  9   0.6  958 278  1.5 8  3.4  84    0   14 294 -310  2
3912500 2352500  1  5 10   1.1  958 158  2.6 7  3.5  83    0   21 285 -311  2
3912500 2352500  1  5 11   0.9  958 238  3.5 8  3.6  83    0   37 286 -315  2
3912500 2352500  1  5 12   1.9  957 209  2.9 7  3.7  82    0   55 288 -319  2
3912500 2352500  1  5 13   2.3  957 194  2.3 7  3.9  83    0   63 281 -322  2
3912500 2352500  1  5 14   2.5  957 215  2.9 8  4.1  85    0   35 297 -326  2
3912500 2352500  1  5 15   2.8  957 181  2.5 8  4.2  85    0   35 312 -329  2
3912500 2352500  1  5 16   3.5  957 251  3.0 8  4.4  87    0   24 314 -327  2
3912500 2352500  1  5 17   4.7  958 252  4.6 8  4.8  90    0    1 319 -325  2
3912500 2352500  1  5 18   5.1  958 205  3.7 8  5.2  91    0    0 323 -325  2
3912500 2352500  1  5 19   4.7  958 261  2.8 8  5.3  92    0    0 324 -324  2
3912500 2352500  1  5 20   4.0  957 151  2.0 8  5.2  95    0    0 324 -324  2
3912500 2352500  1  5 21   4.0  957 155  2.6 8  5.1  96    0    0 323 -323  2
3912500 2352500  1  5 22   3.9  956 135  2.4 8  5.1  95    0    0 324 -323  2
3912500 2352500  1  5 23   3.5  956 143  2.4 8  5.0  96    0    0 324 -324  2
3912500 2352500  1  5 24   3.7  955 168  2.1 8  5.0  96    0    0 324 -324  2
3912500 2352500  1  6  1   3.8  954 206  2.1 8  5.1  96    0    0 324 -324  2
3912500 2352500  1  6  2   4.0  953 215  2.7 8  5.2  96    0    0 325 -325  2
3912500 2352500  1  6  3   4.0  952 201  2.4 8  5.2  97    0    0 325 -326  2
3912500 2352500  1  6  4   4.3  953 193  2.5 8  5.2  96    0    0 327 -326  2
3912500 2352500  1  6  5   4.2  953 246  1.3 8  5.2  94    0    0 327 -325  2
3912500 2352500  1  6  6   4.0  953 243  2.4 8  5.2  95    0    0 326 -325  2
3912500 2352500  1  6  7   4.6  954 187  1.3 8  5.2  95    0    0 326 -325  2
3912500 2352500  1  6  8   4.9  955 225  2.7 8  5.4  95    0    0 328 -324  2
3912500 2352500  1  6  9   5.8  955 253  3.1 8  5.5  94    5   17 330 -324  2
3912500 2352500  1  6 10   6.6  957 275  2.9 6  5.7  91   52   59 319 -325  2
3912500 2352500  1  6 11   7.2  958 249  3.0 4  5.8  88   50  105 298 -326  2
3912500 2352500  1  6 12   7.6  959 260  4.3 7  5.6  82    0   87 304 -327  2
3912500 2352500  1  6 13   8.3  959 252  4.8 5  5.3  75   80  140 310 -330  2
3912500 2352500  1  6 14   8.1  960 251  3.5 3  5.1  71  146  107 287 -333  2
3912500 2352500  1  6 15   8.2  961 258  3.4 2  4.9  68   97   88 267 -337  2
